This is a test - put something more meaningful here
    1  : Daily records
    1  : First day of record
    1  : First month of record
 2010  : First year of record

  Tmin (C)   Tmax (C)
=======================
31.20	31.20
30.36	30.36
30.44	30.44
30.65	30.65
29.79	29.79
29.75	29.75
29.95	29.95
30.80	30.80
30.54	30.54
30.58	30.58
30.16	30.16
31.24	31.24
31.31	31.31
31.40	31.40
30.76	30.76
30.69	30.69
31.03	31.03
30.59	30.59
30.55	30.55
31.63	31.63
30.43	30.43
30.75	30.75
31.20	31.20
31.92	31.92
31.49	31.49
31.70	31.70
30.69	30.69
31.57	31.57
31.36	31.36
33.57	33.57
32.78	32.78
31.91	31.91
31.57	31.57
32.91	32.91
32.00	32.00
32.58	32.58
33.42	33.42
31.77	31.77
31.81	31.81
31.54	31.54
32.02	32.02
31.02	31.02
31.70	31.70
32.48	32.48
28.44	28.44
32.89	32.89
32.91	32.91
32.10	32.10
32.27	32.27
33.24	33.24
32.39	32.39
31.84	31.84
31.90	31.90
31.42	31.42
32.46	32.46
32.74	32.74
30.98	30.98
32.92	32.92
33.06	33.06
32.63	32.63
33.34	33.34
31.97	31.97
32.81	32.81
31.44	31.44
32.12	32.12
33.24	33.24
32.11	32.11
31.49	31.49
29.32	29.32
32.56	32.56
32.13	32.13
31.48	31.48
31.76	31.76
31.10	31.10
30.56	30.56
32.85	32.85
33.33	33.33
32.05	32.05
31.01	31.01
31.63	31.63
32.27	32.27
33.03	33.03
33.51	33.51
32.82	32.82
33.42	33.42
32.68	32.68
32.91	32.91
32.78	32.78
31.47	31.47
33.25	33.25
33.43	33.43
33.35	33.35
32.68	32.68
32.71	32.71
33.51	33.51
30.96	30.96
33.32	33.32
33.27	33.27
33.31	33.31
29.76	29.76
32.14	32.14
31.66	31.66
33.19	33.19
32.87	32.87
32.85	32.85
31.93	31.93
31.68	31.68
34.05	34.05
33.12	33.12
31.50	31.50
31.38	31.38
32.46	32.46
31.49	31.49
32.04	32.04
31.67	31.67
31.15	31.15
29.58	29.58
31.55	31.55
31.25	31.25
32.07	32.07
32.24	32.24
29.66	29.66
31.57	31.57
31.78	31.78
32.14	32.14
31.75	31.75
